"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.expr","receptor.expr","ligand.sum","receptor.sum","edge_specificity"
"180","B","CD8 T","HLA-E","HLA-E","KLRD1","KLRD1",2.49940506611986,0.330485327136156,8.43554965618277,1.55179754467066,0.0631016014954326
"181","B","CD8 T","HLA-E","HLA-E","KLRC1","KLRC1",2.49940506611986,0.251176311438171,8.43554965618277,0.893647392878193,0.0832790467292425
"182","B","CD8 T","LGALS9","LGALS9","CD44","CD44",0.374319606450614,1.02215523036448,0.534913018137517,2.10305992165709,0.340114084078669
"183","B","CD8 T","HLA-A","HLA-A","CD3G","CD3G",3.2691842147084,0.383235039408898,10.9694958864466,0.79741212112046,0.143230365694333
"184","B","CD8 T","HLA-B","HLA-B","CD3G","CD3G",2.91367368215144,0.383235039408898,9.77183363264043,0.79741212112046,0.143300341019183
"185","B","CD8 T","LTB","LTB","TNFRSF1A","TNFRSF1A",2.96262657253701,0.157273328330124,6.15923181221312,0.484905092820628,0.156008656334514
"186","B","CD8 T","CLEC2D","CLEC2D","KLRB1","KLRB1",0.209066849841072,0.392018559553235,0.495302381296547,0.646220564567109,0.256059335232759
"187","B","CD8 T","CALM2","CALM2","SELL","SELL",1.34268611745062,0.726658286741193,3.54646538390655,3.79505412507465,0.072492158245225
"188","B","CD8 T","CALM1","CALM1","SELL","SELL",1.57497508930134,0.726658286741193,6.14501061093323,3.79505412507465,0.0490753390106017
"189","B","CD8 T","CALM3","CALM3","SELL","SELL",0.591674319958562,0.726658286741193,2.01224981958287,3.79505412507465,0.0563006073072795
"190","B","CD8 T","GNAI2","GNAI2","S1PR4","S1PR4",0.426597193353934,0.613919247516017,1.31754657238961,1.8300646257036,0.108616759416637
"191","B","CD8 T","HLA-B","HLA-B","CANX","CANX",2.91367368215144,0.309277805498414,9.77183363264043,1.09200351014197,0.0844480386965786
"192","B","CD8 T","CALR","CALR","HLA-F","HLA-F",0.571057825365127,0.762632253040268,2.63816124635139,2.2639228574605,0.0729175880673677
"193","B","CD8 T","B2M","B2M","HLA-F","HLA-F",5.08030092207413,0.762632253040268,16.4909361341051,2.2639228574605,0.103776178020043
"194","B","CD8 T","LRPAP1","LRPAP1","SORL1","SORL1",0.307755640823789,0.305588019378849,1.11623711513804,0.697683446781304,0.120761213259247
