"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.scaled","receptor.scaled","weight_sc"
"266","NK","B","SPON2","SPON2","ITGAM","ITGAM",1.04724343131851,0.00127482416992858,0.52425912774422
"267","NK","B","CD52","CD52","SIGLEC10","SIGLEC10",-0.755698893194344,0.350500109162648,-0.202599392015848
"268","NK","B","PTDSS1","PTDSS1","JMJD6","JMJD6",0.0628903006377732,0.0715079785816555,0.0671991396097144
"269","NK","B","RPS27A","RPS27A","RIPK1","RIPK1",-0.629192696298212,0.0868259037100329,-0.27118339629409
"270","NK","B","UBA52","UBA52","RIPK1","RIPK1",-0.699191572565295,0.0868259037100329,-0.306182834427631
"271","NK","B","UBB","UBB","RIPK1","RIPK1",0.62625475246351,0.0868259037100329,0.356540328086771
"272","NK","B","UBC","UBC","RIPK1","RIPK1",-0.0720944062602943,0.0868259037100329,0.00736574872486927
"273","NK","NK","IFNG","IFNG","IFNGR1","IFNGR1",0.430365584741019,-0.0309329284318834,0.199716328154568
"274","NK","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",0.51015907840825,0.318253593035569,0.414206335721909
"275","NK","NK","TGFB1","TGFB1","TGFBR1","TGFBR1",0.51015907840825,0.353414029386622,0.431786553897436
"276","NK","NK","IFNG","IFNG","IFNGR2","IFNGR2",0.430365584741019,0.0365998875790657,0.233482736160042
"277","NK","NK","CCL5","CCL5","CXCR3","CXCR3",0.168221778573787,0.0379110844817353,0.103066431527761
"278","NK","NK","GNAS","GNAS","PTGDR","PTGDR",0.0878898262212688,0.614581627266401,0.351235726743835
"279","NK","NK","MFNG","MFNG","NOTCH1","NOTCH1",-0.0789437454853033,0.168692371645531,0.0448743130801137
"280","NK","NK","CD48","CD48","CD2","CD2",-0.293419803188776,-0.0513060240422604,-0.172362913615518
"281","NK","NK","CD48","CD48","CD244","CD244",-0.293419803188776,0.528735496206176,0.1176578465087
"282","NK","NK","CD58","CD58","CD2","CD2",0.306783862128591,-0.0513060240422604,0.127738919043165
"283","NK","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",0.510329205732673,0.348584888095529,0.429457046914101
"284","NK","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",0.820233658651436,0.423212651268706,0.621723154960071
"285","NK","NK","LGALS1","LGALS1","CD69","CD69",0.707555925172064,0.143509481453203,0.425532703312634
"286","NK","NK","CD160","CD160","TNFRSF14","TNFRSF14",0.208791480246729,0.25447356877558,0.231632524511154
"287","NK","NK","ICAM3","ICAM3","ITGAL","ITGAL",-0.0459212925088382,0.144412410890431,0.0492455591907963
"288","NK","NK","ICAM3","ICAM3","ITGB2","ITGB2",-0.0459212925088382,0.752926018397243,0.353502362944202
"289","NK","NK","LGALS1","LGALS1","PTPRC","PTPRC",0.707555925172064,0.212933675107588,0.460244800139826
"290","NK","NK","TIMP1","TIMP1","CD63","CD63",0.0835221914342663,0.902008340804233,0.49276526611925
"291","NK","NK","TGFB1","TGFB1","CXCR4","CXCR4",0.51015907840825,-0.361900193841443,0.0741294422834035
