"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"106","B","LGALS9","NK","PTPRC",0.0594000161671396,144,121.5,0.272689770565167,104,0.779865277513123,229,0.267909989613433,117,0.295384921749709,126
"107","B","LGALS9","CD8 T","PTPRC",0.0604443870523949,147.5,127,0.270776970329828,106,0.779260446395783,230,0.265173923931575,118,0.290220196868883,136
"108","NK","CCL5","CD8 T","CXCR3",0.0615024693729973,189.75,185.5,0.177281438117998,231,0.819759899296032,161,0.204194439389659,157,0.168338446408658,210
"109","B","ST6GAL1","B","CD22",0.062581178353371,195.25,106,0.29983931219315,74,0.563276973821917,495,0.279303175694111,108,0.322149638844666,104
"110","B","MS4A1","NK","CD82",0.0635558767909044,134,129,0.18181802102694,223,0.761281896722805,256,0.659018012584877,22,0.49428858756235,35
"111","NK","CCL5","CD8 T","DPP4",0.0636602467933984,132.75,130.5,0.379385443445748,37,0.776430403241627,233,0.236019798311045,136,0.296901417530141,125
"112","B","CD19","B","CD81",0.0642517739622909,166.75,107.5,0.34778302679845,49,0.638973500512232,403,0.288426907806284,106,0.313956035989558,109
"113","CD8 T","CXCR4","B","CCR7",0.0658743105585443,157.5,146.5,0.215265189691572,174,0.775840313588225,235,0.262680600776712,119,0.322665498458123,102
"114","NK","IFNG","CD8 T","IFNGR1",0.0659501978653936,154.75,99.5,0.358564665699609,43,0.658411033723416,377,0.320694670267137,89,0.311771823552276,110
"115","CD8 T","CD99","CD8 T","PILRB",0.0681456310928623,223.75,226,0.177684555821106,229,0.78537197096903,223,0.149663198933147,206,0.142352764845826,237
"116","B","B2M","B","CD1C",0.0694312080887237,187,98.5,0.290178854044502,85,0.900411302741972,43,0.271533703966696,112,-0.142862534996982,508
"117","NK","CASP8","CD8 T","FAS",0.07302554854084,183.75,111.5,0.382307847276728,36,0.579453425118156,476,0.274905139075425,109,0.308702589585619,114
"118","B","HLA-DRA","CD8 T","CD37",0.0748656293980478,113,78,0.157349848864268,275,0.917475607306343,21,0.49504862012455,41,0.307509244684245,115
"119","CD8 T","LGALS3","NK","ANXA2",0.0791015625,184,168,0.224545236001054,158,0.769132089594966,246,0.210413978283931,154,0.214252243798695,178
