"","source","target","ligand.complex","ligand","receptor.complex","receptor","ligand.log2FC","receptor.log2FC","logfc_comb"
"23","B","B","CD59","CD59","CD2","CD2",-0.0695703586016723,-0.853246009241967,-0.46140818392182
"24","B","B","MIF","MIF","CD74_CXCR2","CD74",-0.182545542976844,0,-0.0912727714884221
"25","B","B","MIF","MIF","CD74_CXCR4","CXCR4",-0.182545542976844,-0.166320265564583,-0.174432904270713
"26","B","B","MIF","MIF","CD44_CD74","CD44",-0.182545542976844,-0.0872760518287224,-0.134910797402783
"27","B","B","LGALS9","LGALS9","PTPRC","PTPRC",0.336974211154387,-0.405157903620114,-0.0340918462328635
"28","B","B","PTPRC","PTPRC","CD22","CD22",-0.405157903620114,0.573929236659721,0.0843856665198038
"29","B","B","ICAM2","ICAM2","ITGAM_ITGB2","ITGAM",0.0998895733716471,0.0476165112204201,0.0737530422960336
"30","B","B","LCK","LCK","CD8A_CD8B","CD8B",-0.854752602122304,-0.361999270371093,-0.608375936246698
"31","B","B","CD52","CD52","SIGLEC10","SIGLEC10",0.25602847496774,0.177616791636814,0.216822633302277
"32","B","B","LRPAP1","LRPAP1","CD320","CD320",-0.128777825695521,-0.234932232091066,-0.181855028893294
"33","B","B","IL10RB","IL10RB","IL10RA","IL10RA",0.0133643215851543,-0.449689602062063,-0.218162640238455
"34","B","B","CD82","CD82","CD37","CD37",0.602290238781701,0.663719949228007,0.633005094004854
"35","B","B","HLA-C","HLA-C","CD81","CD81",-0.193561893061996,0.0729093238339064,-0.0603262846140447
"36","B","B","HLA-C","HLA-C","CD53","CD53",-0.193561893061996,-0.0854529562148236,-0.13950742463841
"37","B","B","HLA-DRA","HLA-DRA","CD82","CD82",1.57295426211358,0.602290238781701,1.08762225044764
"38","B","B","ITGB1","ITGB1","CD81","CD81",0.0445378464691383,0.0729093238339064,0.0587235851515223
"39","B","B","HLA-DRA","HLA-DRA","CD19","CD19",1.57295426211358,0.503944491778661,1.03844937694612
"40","B","B","NT5E","NT5E","FCRL1","FCRL1",0.238846346683719,0.345321799931171,0.292084073307445
"41","B","B","TSPAN3","TSPAN3","ADAM10","ADAM10",0.404397413148288,-0.0153979059229629,0.194499753612662
"42","B","B","HLA-DRA","HLA-DRA","CD53","CD53",1.57295426211358,-0.0854529562148236,0.743750652949377
"43","B","B","MS4A1","MS4A1","CD82","CD82",1.50439441029265,0.602290238781701,1.05334232453718
"44","B","B","STUB1","STUB1","DNAJA3","DNAJA3",0.026652986278048,0.156625655817103,0.0916393210475753
"45","B","B","IFITM1","IFITM1","CD81","CD81",-0.574082630266217,0.0729093238339064,-0.250586653216155
"46","B","B","IL10RB","IL10RB","IFNAR1","IFNAR1",0.0133643215851543,0.182334278785815,0.0978493001854849
"47","B","B","HLA-DRB1","HLA-DRB1","CD82","CD82",1.21036293586606,0.602290238781701,0.90632658732388
"48","B","B","HLA-DRB1","HLA-DRB1","CD81","CD81",1.21036293586606,0.0729093238339064,0.641636129849983
"49","B","B","CD81","CD81","CD37","CD37",0.0729093238339064,0.663719949228007,0.368314636530957
"50","B","B","EBI3","EBI3","IL27RA_IL6ST","IL27RA",0.210944833568503,0,0.105472416784251
"51","B","B","HLA-DRB1","HLA-DRB1","CD19","CD19",1.21036293586606,0.503944491778661,0.85715371382236
"52","B","B","CXCR4","CXCR4","CCR7","CCR7",-0.166320265564583,0.0918772942915015,-0.0372214856365407
"53","B","B","MS4A1","MS4A1","CD53","CD53",1.50439441029265,-0.0854529562148236,0.709470727038915
"54","B","B","CD2","CD2","CD53","CD53",-0.853246009241967,-0.0854529562148236,-0.469349482728395
"55","B","B","B2M","B2M","CD1C","CD1C",-0.144358917775471,0.687426325708862,0.271533703966696
"56","B","B","HLA-DRB1","HLA-DRB1","CD37","CD37",1.21036293586606,0.663719949228007,0.937041442547033
"57","B","B","CD47","CD47","HLA-C","HLA-C",-0.0234148065249695,-0.193561893061996,-0.108488349793483
"58","B","B","ITGA4","ITGA4","CD81","CD81",0.0953432330265657,0.0729093238339064,0.0841262784302361
"59","B","B","TNFRSF17","TNFRSF17","LY9","LY9",0.485204203714837,-0.120711731553749,0.182246236080544
"60","B","B","HLA-DRA","HLA-DRA","CD63","CD63",1.57295426211358,-0.651805635797068,0.460574313158255
"61","B","B","CD19","CD19","CD81","CD81",0.503944491778661,0.0729093238339064,0.288426907806284
"62","B","B","SRGN","SRGN","CD44","CD44",-0.680632850856613,-0.0872760518287224,-0.383954451342668
"63","B","B","CD53","CD53","CD37","CD37",-0.0854529562148236,0.663719949228007,0.289133496506592
"64","B","B","HLA-DRA","HLA-DRA","CD37","CD37",1.57295426211358,0.663719949228007,1.11833710567079
"65","B","B","FCGRT","FCGRT","IGFLR1","IGFLR1",0.193766926742493,0.0563867442396146,0.125076835491054
"66","B","B","TGFB1","TGFB1","LPP","LPP",-0.163135435816823,0.0694874011668063,-0.0468240173250082
"67","B","B","CD320","CD320","TMEM167A","TMEM167A",-0.234932232091066,0.0194032163312405,-0.107764507879913
"68","B","B","HLA-DRB1","HLA-DRB1","CD53","CD53",1.21036293586606,-0.0854529562148236,0.562454989825617
"69","B","B","HLA-DRA","HLA-DRA","CD81","CD81",1.57295426211358,0.0729093238339064,0.822931792973742
"70","B","B","ITGA4","ITGA4","CD82","CD82",0.0953432330265657,0.602290238781701,0.348816735904134
"71","B","B","HLA-B","HLA-B","SIGLEC10","SIGLEC10",-0.17818528122273,0.177616791636814,-0.000284244792958077
"72","B","NK","TGFB1","TGFB1","TGFBR3","TGFBR3",-0.163135435816823,0.219141014977424,0.0280027895803004
"73","B","NK","JAK1","JAK1","IFNAR2","IFNAR2",-0.153669452549756,0.190451559687998,0.0183910535691212
"74","B","NK","TYK2","TYK2","IFNAR2","IFNAR2",0.0491626593075343,0.190451559687998,0.119807109497766
"75","B","NK","CCL5","CCL5","CXCR3","CXCR3",-1.47237547184195,0.0397785529229974,-0.716298459459476
"76","B","NK","TYK2","TYK2","JAK1","JAK1",0.0491626593075343,0.463519672246938,0.256341165777236
"77","B","NK","CD74","CD74","CXCR4","CXCR4",0.757187354633794,-0.334100077940278,0.211543638346758
"78","B","NK","ARRB2","ARRB2","ADRB2","ADRB2",-0.355179459312053,0.142213927544932,-0.106482765883561
"79","B","NK","GRK5","GRK5","ADRB2","ADRB2",0.18833016735984,0.142213927544932,0.165272047452386
"80","B","NK","GNAS","GNAS","PTGDR","PTGDR",0.148887134357962,0.743329579650939,0.44610835700445
"81","B","NK","ADAM10","ADAM10","NOTCH1","NOTCH1",-0.0153979059229629,0.0904454127436877,0.0375237534103624
"82","B","NK","HLA-A","HLA-A","KIR3DL2","KIR3DL2",-0.188870172143052,0.205562659600783,0.00834624372886542
"83","B","NK","HLA-C","HLA-C","KIR2DL3","KIR2DL3",-0.193561893061996,0.314044329089761,0.0602412180138824
"84","B","NK","HLA-E","HLA-E","KLRC1_KLRD1","KLRC1",-0.173441882345715,0.601041983136105,0.213800050395195
"85","B","NK","HLA-E","HLA-E","KLRC2_KLRD1","KLRD1",-0.173441882345715,0,-0.0867209411728574
"86","B","NK","HLA-E","HLA-E","KLRC3_KLRD1","KLRD1",-0.173441882345715,0,-0.0867209411728574
"87","B","NK","HMGB1","HMGB1","HAVCR2","HAVCR2",-0.170861747374335,0.348982946818189,0.0890605997219272
