"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"398","CD8 T","CLEC2D","CD8 T","KLRB1",0.503625486455789,408,306.5,0.249131429718947,197,0.586539849794873,822,0.223352508901745,265,0.188970244820025,348
"399","NK","IL2RG","CD8 T","IL2RB",0.509437019137829,542,580.5,0.110377444545915,592,0.809955834828637,412,0.0104963495673935,569,0.0298528827699737,595
"400","CD8 T","IL2RB","NK","IL2RG",0.512870449415037,542,580.5,0.110377444545915,592,0.809955834828637,412,0.0104963495673935,569,0.0298528827699737,595
"401","B","YBX1","NK","NOTCH1",0.516321205624299,417.5,387.5,0.203812203626483,298,0.731171510561051,597,0.102157906336599,407,0.170516087974385,368
"402","NK","HLA-C","CD8 T","CD53",0.516321205624299,359,401,0.109518529441178,597,0.927030811258395,37,0.0130797295513722,564,0.305302470452665,238
"403","B","HLA-C","NK","CD53",0.518848487517872,502,564.5,0.116403678996522,570,0.929066316547155,34,0.0151033239872007,559,-0.258968103836592,845
"404","B","CD82","CD8 T","CD37",0.523274928694379,486.25,502,0.161045072782106,423,0.828990847179143,342,0.00505184320329288,581,0.0253133818687969,599
"405","CD8 T","TYROBP","NK","KLRD1",0.523274928694379,455.5,433.5,0.108981006168965,599,0.786270300750543,479,0.133295858699082,356,0.157494952370022,388
"406","CD8 T","HLA-DRB1","B","CD37",0.526778012226771,382.75,399,0.108833609784579,600,0.889889657885821,133,0.0546062220300993,491,0.223918215528024,307
"407","NK","TNFRSF1A","NK","TNFRSF1B",0.526881118487104,427,353,0.234634641691278,228,0.629267803915488,774,0.135342546308598,352,0.181450040014688,354
"408","NK","TNFRSF1B","NK","TNFRSF1A",0.530813294894315,427,353,0.234634641691278,228,0.629267803915488,774,0.135342546308598,352,0.181450040014688,354
"409","B","CD59","CD8 T","CD2",0.53383691569683,345.75,313,0.177613812504537,367,0.72568441698074,602,0.359362041936052,155,0.288980064103599,259
"410","CD8 T","YBX1","NK","NOTCH1",0.544557992073374,493.25,518,0.188876375281604,332,0.72362633081421,605,0.0377680872842186,520,0.0794606595038979,516
"411","NK","ITGB2","NK","CD82",0.544557992073374,402,395.5,0.107185594087446,605,0.767422155377368,522,0.288821684782738,212,0.274646328495133,269
"412","NK","CD82","NK","ITGB2",0.548167311903006,402,395.5,0.107185594087446,605,0.767422155377368,522,0.288821684782738,212,0.274646328495133,269
"413","CD8 T","B2M","NK","HLA-F",0.551794543949111,444.75,545,0.106753348746256,607,0.909331960581057,82,-0.0107781160046888,604,0.0962054609108207,486
"414","CD8 T","PRNP","NK","TNFRSF25",0.554743180539541,429.25,344.5,0.216171993949271,270,0.637033950450751,758,0.165083109125513,328,0.17401528585234,361
"415","B","CD47","CD8 T","SIRPG",0.562847939840202,370,339,0.277613996391558,146,0.700080419126572,656,0.174857660190091,315,0.172816386628054,363
"416","CD8 T","SIRPG","B","CD47",0.566924306144411,370,339,0.277613996391558,146,0.700080419126572,656,0.174857660190091,315,0.172816386628054,363
"417","CD8 T","CD3D","B","CD3E",0.5792492401712,429.75,351,0.0925695650311476,683,0.830007726297002,334,0.158895779702214,335,0.171842196285506,367
"418","B","LGALS9","B","CD47",0.61231489525398,397.25,356,0.220538384908425,254,0.714176603315049,623,0.158329632575809,336,0.166139634966271,376
"419","B","HLA-F","NK","KIR3DL2",0.612816706118302,397,359.5,0.286831858819631,137,0.655764305981241,732,0.119781954752755,375,0.193331175247522,344
"420","B","LGALS9","B","CD44",0.616255766823272,413.5,383,0.218076006741322,264,0.713323934237617,624,0.113216205930732,387,0.163106574985321,379
"421","NK","YBX1","NK","NOTCH1",0.616255766823272,554.5,610,0.176344666615212,374,0.716708981829295,617,-0.0106645806006621,603,0.00306180999001314,624
"422","NK","ADRB2","B","CXCR4",0.616255766823272,568.5,605,0.15556348056781,440,0.72544468415804,603,-0.0231268679506206,624,0.0176231533810732,607
"423","CD8 T","HLA-C","B","CD53",0.619070428949561,497.25,633,0.104111794566356,624,0.925299817762935,41,-0.0336503577216651,642,-0.0463343666160683,682
"424","B","SELL","CD8 T","SELPLG",0.624194547216949,586.5,586.5,0.10583608102166,613,0.747513467349999,560,0.0220288879477759,547,0.00218685295513706,626
"425","CD8 T","SELPLG","B","SELL",0.628192577980687,586.5,586.5,0.10583608102166,613,0.747513467349999,560,0.0220288879477759,547,0.00218685295513706,626
"426","B","ITGB1","CD8 T","CD151",0.634312134407133,471.75,371,0.245841809442253,205,0.494187866585142,940,0.12890154022349,362,0.16301490412028,380
"427","CD8 T","HLA-DRB1","B","CD19",0.636246226221989,490.75,502.5,0.191535124119907,329,0.761591305132042,538,-0.0250327871474666,629,0.104551070332647,467
"428","B","ICAM3","CD8 T","ITGAL",0.636246226221989,458,416.5,0.169792176610995,391,0.711998705660993,629,0.121526835529165,370,0.117294638325452,442
"429","CD8 T","CD74","CD8 T","CXCR4",0.636246226221989,457,571,0.118341390638483,560,0.916243506247637,57,0.00483673893412484,582,-0.00116286396554655,629
"430","B","IL10RB","CD8 T","IL10RA",0.638658649620685,481.75,378.5,0.175834595905579,376,0.557100238390389,861,0.179820866415095,309,0.160329533853866,381
"431","CD8 T","ITGAL","B","ICAM3",0.640301966224216,458,416.5,0.169792176610995,391,0.711998705660993,629,0.121526835529165,370,0.117294638325452,442
"432","B","CD48","NK","CD2",0.640301966224216,532,607,0.106449848190263,609,0.842188918923412,284,-0.0108103887431966,605,-0.00124657263874,630
"433","NK","CD59","CD8 T","CD2",0.644377065326521,380.75,359.5,0.15501822698491,444,0.711935228035573,631,0.342925880077676,173,0.268422471172303,275
"434","NK","CD2","B","CD48",0.644377065326521,532,607,0.106449848190263,609,0.842188918923412,284,-0.0108103887431966,605,-0.00124657263874,630
"435","NK","ADRB2","B","CCR7",0.647398997809573,472,382.5,0.244358143231084,210,0.526990682346816,913,0.116579337629641,382,0.159338554918474,383
"436","B","ICAM3","NK","ITGAL",0.648471585035115,468.5,422.5,0.16809575169484,397,0.710968080243627,632,0.105538653427415,400,0.114714743870553,445
"437","B","CD47","CD8 T","HLA-C",0.648471585035115,492,602.5,0.105602738566208,616,0.890009950534001,131,2.11409173399568e-05,589,-0.00167779329583679,632
"438","NK","IL10RB","NK","IL10RA",0.651792801519464,447,373.5,0.236974946617471,225,0.593537095536427,816,0.126795943605273,363,0.158943752735664,384
"439","NK","ITGAL","B","ICAM3",0.652585586953761,468.5,422.5,0.16809575169484,397,0.710968080243627,632,0.105538653427415,400,0.114714743870553,445
"440","NK","SELPLG","CD8 T","ITGB2",0.656719132783771,563.5,556.5,0.132108086028023,516,0.774045753742101,507,-0.0059441883379889,597,-0.00452287256860597,634
"441","B","ICAM2","NK","ITGAM",0.660627592811619,443.25,375.5,0.215120694932764,272,0.640178086815785,750,0.12583907166542,365,0.158332795293525,386
"442","NK","HLA-E","CD8 T","KLRC1",0.673449992658028,498.75,482.5,0.101275160572843,638,0.814454106330549,392,0.0280333330553181,542,0.132835783264987,423
"443","NK","CD244","B","LAT",0.673997504575588,424.5,370,0.228960950964903,240,0.662706398879006,718,0.111355080091847,389,0.185094938821331,351
"444","NK","HLA-B","B","CD3G",0.677682186978865,432.25,441,0.10101448490731,639,0.816750043366152,384,0.0495982075042065,498,0.335923154721246,208
"445","CD8 T","TNFRSF1A","B","TRAF2",0.687508294558784,487.25,391.5,0.253470847464934,191,0.449699156347827,975,0.110488434055409,391,0.156274451422271,392
"446","CD8 T","HLA-C","CD8 T","CD53",0.689321116348141,525.75,667.5,0.0999090662302644,644,0.923863240557963,46,-0.0647540787372946,691,-0.0837137029392463,722
"447","CD8 T","HLA-F","NK","KIR3DL2",0.692043118278984,408.75,376.5,0.27704373860699,149,0.651834887006735,733,0.108532941479052,393,0.178647441012481,360
"448","B","IL4R","B","IL2RG",0.694810750269974,569.25,637.5,0.178734989134172,359,0.710492787003584,636,-0.0321948947590978,639,-0.0130292190948755,643
"449","NK","HLA-C","B","CD3G",0.694810750269974,411.75,418.5,0.100477170592733,643,0.829560832889613,336,0.0471470901659833,501,0.373666192449218,167
"450","CD8 T","S100A9","CD8 T","ITGB2",0.699143150247197,566,562.5,0.126730849715655,531,0.777249942828333,495,-0.00343296617722996,594,-0.013266099890178,644
"451","NK","IL10RB","CD8 T","IFNAR1",0.705741022738668,484,392.5,0.243220450264045,212,0.494189414709754,939,0.107615850022314,396,0.157452742106938,389
"452","B","GNAS","NK","ADRB2",0.705741022738668,439.25,370.5,0.203559085553153,299,0.662715690645169,717,0.147016767359119,345,0.151274835250127,396
"453","NK","B2M","CD8 T","KLRC1",0.707868700266206,414.5,399,0.0990366077057638,646,0.8585402122918,225,0.0101092367247008,573,0.330951302009386,214
"454","CD8 T","CD59","NK","CD2",0.712261976149407,555.25,547.5,0.143787392712715,479,0.704162348848909,647,0.0400242612536401,518,0.0480086580926688,577
"455","CD8 T","HLA-DQB1","CD8 T","LAG3",0.725564564390856,481.5,470,0.128338299918559,522,0.703404128028162,650,0.094741908866359,418,0.199273773101743,336
"456","CD8 T","CD28","CD8 T","CD247",0.730039891542413,468,443.5,0.188348995041677,334,0.702740498047125,651,0.0997469175709979,411,0.101456335009384,476
"457","B","B2M","CD8 T","CD247",0.73094254425805,583.75,661,0.100599922227159,642,0.921346841082138,49,-0.0606261247810184,680,-0.494356963004428,964
"458","B","FCGRT","B","IGFLR1",0.733555602398998,466.75,380.5,0.218295600437247,263,0.570989176499438,843,0.131637241593652,359,0.14995567623754,402
"459","B","LGALS9","B","PTPRC",0.73905262304925,584.5,623,0.156309846621862,439,0.728422597071482,599,-0.0375687381526649,647,-0.0188508660308477,653
"460","NK","CD82","B","CD37",0.743590154611664,404.25,361,0.0980325653235854,654,0.790890213422561,466,0.246677196630547,241,0.29239610560711,256
"461","NK","HLA-A","B","CD3G",0.757328177826287,469.5,453.5,0.0977564342555158,657,0.822867426118764,361,0.0227292396918767,546,0.218713965989837,314
"462","B","HLA-C","B","CD53",0.758471295989907,617.25,726,0.0924686441049106,684,0.921096371116365,51,-0.139822244831809,768,-0.498652507809396,966
"463","B","TNFRSF14","B","TRAF2",0.771503931839477,449.75,397.5,0.25880605176096,181,0.585950474708911,823,0.100750137883282,410,0.158605485607516,385
"464","B","HLA-C","CD8 T","CD53",0.772170288790848,630,747.5,0.0887359201383481,705,0.919585981671751,52,-0.170925965847439,790,-0.536031844132574,973
"465","CD8 T","HLA-E","CD8 T","KLRC1",0.775940598687682,572.25,610,0.0965144932165848,661,0.810788505467331,408,-0.0215397606929326,623,0.0284506767871026,597
"466","NK","GRN","NK","TNFRSF1A",0.776316279775785,489.5,400.5,0.197817221161691,313,0.570607227151826,844,0.110567917525058,390,0.142362399851454,411
"467","NK","B2M","B","CD3G",0.780646820828192,427,413,0.0963868004962396,662,0.849755929859702,254,0.0102087806954029,572,0.327990934560102,220
"468","B","CXCR4","B","CCR7",0.785374418653053,585.25,595,0.142129539612921,488,0.737694925449362,581,-0.0528537815423351,663,0.010506638772296,609
"469","B","FCGRT","NK","IGFLR1",0.785986598940913,473.25,379.5,0.210219104397502,284,0.566365648714743,850,0.145439779772832,346,0.14159604422765,413
"470","CD8 T","ITGAL","CD8 T","ICAM3",0.790123456790123,546.25,533.5,0.150258859588343,454,0.699307684349738,664,0.0446283591275689,506,0.0552382077291956,561
"471","B","CD3D","CD8 T","CD3E",0.790123456790123,445.25,398,0.0961863971485184,664,0.832694561503218,321,0.0841083793465518,434,0.172858242426603,362
"472","CD8 T","ICAM3","CD8 T","ITGAL",0.794893999964811,546.25,533.5,0.150258859588343,454,0.699307684349738,664,0.0446283591275689,506,0.0552382077291956,561
"473","B","TIMP1","NK","CD63",0.794893999964811,412.25,412,0.0960965305112427,665,0.728786096926508,598,0.351111333804648,160,0.319708492615265,226
"474","NK","ICAM3","CD8 T","ITGAL",0.799686113000078,549,536,0.149184637194421,458,0.698552797301455,666,0.0448644466556104,504,0.0518254536456952,568
"475","CD8 T","ADAM10","CD8 T","TSPAN5",0.800605782539635,487.5,392,0.253956805799928,189,0.449293669773278,977,0.122982475139221,368,0.137538986673215,416
"476","CD8 T","ITGAL","NK","ICAM3",0.804499860816437,549,536,0.149184637194421,458,0.698552797301455,666,0.0448644466556104,504,0.0518254536456952,568
"477","CD8 T","B2M","CD8 T","KLRC1",0.804499860816437,505.5,560,0.0954443110884907,667,0.856281754982775,235,-0.0198967141502605,620,0.0861089196480777,500
"478","CD8 T","TNFSF12","CD8 T","TNFRSF25",0.805509068749503,467,383.5,0.208964278280653,286,0.593787687469874,815,0.138325049855147,350,0.137350865390309,417
"479","NK","ITGAL","CD8 T","ICAM3",0.809335308431951,557.75,551,0.148757595641049,461,0.698250890847413,668,0.0286401770258186,538,0.0526583132742967,564
"480","B","SELPLG","NK","SELL",0.809335308431951,495.5,488,0.0953968393378501,668,0.737588343117485,582,0.154738244888161,338,0.153567921739288,394
"481","CD8 T","IL23A","CD8 T","IL12RB1",0.810427426492895,492.75,402,0.222733063660336,250,0.520389076493774,917,0.1140652905939,386,0.136867404246898,418
