"","source","ligand","target","receptor","aggregate_rank","mean_rank","median_rank","natmi.edge_specificity","natmi.rank","sca.LRscore","sca.rank","logfc.logfc_comb","logfc.rank","connectome.weight_sc","connectome.rank"
"197","B","LYZ","NK","ITGAL",0.685796886088886,204.75,178.5,0.16763662900506,166,0.73106440639509,296,0.105367971736685,171,0.121214186472124,186
"198","NK","HLA-B","B","CD3G",0.685796886088886,196.5,204.5,0.10101448490731,296,0.816750043366152,188,0.0500684516720468,221,0.335923154721246,81
"199","CD8 T","CALM3","B","SELL",0.695111481251854,259.75,277.5,0.10462755040111,284,0.817868005130867,187,0.00283431469852513,271,-0.0134945267768497,297
"200","CD8 T","LYZ","CD8 T","ITGAL",0.70452063993482,211.25,187.5,0.165501829491362,172,0.729802624629307,298,0.0974930798503767,177,0.109275204191615,198
"201","NK","HLA-C","B","CD3G",0.70452063993482,186.25,193,0.100477170592733,298,0.829560832889613,163,0.0489079856891141,223,0.373666192449218,61
"202","B","EBI3","B","IL27RA",0.706818936199484,201.25,160,0.345509616190188,31,0.469472734670637,454,0.0895626468066109,183,0.220308098250915,137
"203","B","TIMP1","NK","CD63",0.709880003555591,190.5,196,0.0960965305112427,310,0.728786096926508,301,0.349054785711861,60,0.319708492615265,91
"204","CD8 T","LYZ","NK","ITGAL",0.723625201453683,219,200,0.16384827022366,176,0.728811444433535,300,0.0761532941879474,196,0.106695309736716,204
"205","NK","B2M","CD8 T","KLRC1",0.723625201453683,185,178,0.0990366077057638,300,0.8585402122918,97,0.0136175786274228,259,0.330951302009386,84
"206","CD8 T","MFNG","NK","NOTCH1",0.736979694898174,220.5,183,0.219059175482688,107,0.574093690462125,409,0.0861481836202528,186,0.133145907804416,180
"207","B","ICAM2","CD8 T","ITGAL",0.757448110891542,210,169.5,0.178981871135427,144,0.649064025921012,357,0.131707508783833,151,0.11914288360859,188
"208","CD8 T","GNAI2","NK","S1PR5",0.757448110891542,204,179,0.157387805051322,188,0.695594511834501,330,0.164342756980366,128,0.149887579879941,170
"209","B","GNAI2","B","S1PR4",0.76299729632184,284,280,0.109303198569387,274,0.720594803400323,304,0.00262264149624936,272,-0.00357539869371822,286
"210","B","ICAM3","CD8 T","ITGAL",0.767790051940209,205.5,174.5,0.169792176610995,160,0.711998705660993,313,0.12290195321598,160,0.117294638325452,189
"211","B","GNAI2","CD8 T","S1PR4",0.773086379854989,287,283.5,0.108616759416637,276,0.719960154394496,305,-0.00679961481636765,278,-0.00607677804250824,289
"212","NK","HLA-A","B","CD3G",0.773086379854989,217.25,212.5,0.0977564342555158,305,0.822867426118764,176,0.0247933377944764,249,0.218713965989837,139
"213","B","ALOX5AP","B","ALOX5",0.778203515567769,205.5,181,0.198251690606645,129,0.694142413139068,331,0.0810429729794835,190,0.142958704232398,172
"214","B","ICAM2","NK","ITGAL",0.778203515567769,216.25,178,0.177193630288325,150,0.647919553629352,359,0.110367723121404,166,0.116562989153691,190
"215","B","ICAM3","NK","ITGAL",0.78868826914212,210.75,182.5,0.16809575169484,164,0.710968080243627,314,0.101562167553551,174,0.114714743870553,191
"216","B","CALM1","NK","SELL",0.803954611368599,201.5,226,0.118987586283472,250,0.893258782602827,46,0.0724062541779372,202,-0.0230753939852184,308
"217","CD8 T","HLA-E","CD8 T","KLRC1",0.803954611368599,267,280,0.0965144932165848,308,0.810788505467331,200,-0.0178358017525518,289,0.0284506767871026,271
"218","B","GNAI2","NK","S1PR4",0.814446539374145,292.75,291,0.105861532773898,280,0.717362692728448,309,-0.00881093604025546,281,-0.0161168041653926,301
"219","B","CALM3","B","SELL",0.814446539374145,272.5,296,0.101229706355857,295,0.815396161105061,189,-0.0217576056127774,297,-0.0248315657369588,309
"220","NK","B2M","B","CD3G",0.814446539374145,193.5,188.5,0.0963868004962396,309,0.849755929859702,114,0.0119232352839797,263,0.327990934560102,88
